Business Name,City,State,ZIP,ZIP 4,Key Executive,Gender,Location Employee Size,Corporate Employee Size,Revenue / Yr,County Name,County Population,Metro Area,Latitude,Longitude,Main Line of Business,Location Type,Importer or Exporter,Manufacturer,Primary SIC,Primary SIC Description,NAICS,NAICS Description,Non-Profit,Number of PCs,Public / Private,Small Business,Square Footage,Website,Women Owned,Year Established,Business Credit Score,2017 Revenue/Yr,2016 Revenue/Yr,2015 Revenue/Yr,2016 % Sales Growth,2015 % Sales Growth,2017 Employees,2016 Employees,2015 Employees,2016 % Employee Growth,2015 % Employee Growth,Est. Accounting Annual Expense,Est. Advertising Annual Expense,Est. Business Insurance Annual Expense,Est. Legal Annual Expense,Est. Office Equipment Annual Expense,Est. Rent Annual Expense,Est. Technology Annual Expense,Est. Telecom Annual Expense,Est. Utilities Annual Expense,Franchise Type
Food Lion LLC,Salisbury,NC,28147,9007,Chief Executive Officer,Male,60,"61,209","$10,864,371,027 ",Rowan,"25,000 to 49,999","Charlotte-Concord-Gastonia, NC",35.683334,-80.513657,Grocery Stores,Subsidiary,,No,5411001,Grocery Stores,445110,Supermarkets and Other Grocery (except Convenience) Stores,No,500 or more,Private,No,"50,000 or more",www.foodlion.com,No,1957,100,10864371027,0,0,0,0,60,60,70,0,-14.29,"$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more",
Safeway Inc,Pleasanton,CA,94588,3229,President,Male,50,"46,073","$10,284,493,384 ",Alameda,"50,000 to 99,999",San Francisco-Oakland-Berkeley,37.697386,-121.932882,Grocery Stores,Subsidiary,,No,5411001,Grocery Stores,445110,Supermarkets and Other Grocery (except Convenience) Stores,No,500 or more,Private,No,"50,000 or more",www.safeway.com,No,1926,100,10284493384,0,0,0,0,50,,,0,0,"$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more",
PetSmart Inc,Phoenix,AZ,85027,4010,Chief Executive Officer,Male,9,"53,000","$9,369,043,200 ",Maricopa,"500,000 or more","Phoenix-Mesa-Chandler, AZ",33.663418,-112.115876,Retail Stores,Headquarters,,No,5999001,Retail Stores,453998,All Other Miscellaneous Store Retailers (except Tobacco Stores),No,500 or more,Private,No,"50,000 or more",www.petsmart.com,No,1986,100,9369043200,9369043200,9369043200,0,0,9,24000,24000,-99.96,-99.96,"$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more",
Petco Animal Supplies Stores Inc Group Benefit Plan and Trust,San Diego,CA,92121,2270,Chief Executive Officer,Male,788,"24,200","$5,175,029,640 ",San Diego,"500,000 or more",San Diego-Chula Vista-Carlsbad,32.889548,-117.171377,Pet Food & Supply Stores,Subsidiary,,No,5999005,Pet Food & Supply Stores,453910,Pet and Pet Supplies Stores,No,500 or more,Private,No,"50,000 or more",,No,1965,100,5175029640,5175029640,5175029640,0,0,788,24200,24200,-96.74,-96.74,"$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more",
Big Heart Pet Brands Inc,San Francisco,CA,94111,3404,Chief Executive Officer,Male,528,"2,325","$1,461,868,395 ",San Francisco,"500,000 or more",San Francisco-Oakland-Berkeley,37.7953,-122.39851,Importers & Exporters,Subsidiary,,Yes,5099050,Importers & Exporters,423990,Other Miscellaneous Durable Goods Merchant Wholesalers,No,500 or more,Public,No,"50,000 or more",www.jmsmucker.com,No,1916,100,1461868395,1461868395,0,0,0,528,2325,,-77.29,0,"$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more",
Pet Supplies Plus Inc,Livonia,MI,48152,7910,Chief Executive Officer,Male,17,"6,555","$1,188,017,712 ",Wayne,"50,000 to 99,999","Detroit-Warren-Dearborn, MI",42.41532,-83.422499,Pet Food & Supply Stores,Headquarters,,No,5999005,Pet Food & Supply Stores,453910,Pet and Pet Supplies Stores,No,500 or more,Private,No,"50,000 or more",www.petsuppliesplus.com,No,1988,100,1188017712,1188017712,25917091,0,4483.92,17,6555,143,-99.74,-88.11,"$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more",
ShopRite Inc,Kearny,NJ,7032,1193,,,23,"7,000","$827,610,000 ",Hudson,"25,000 to 49,999","New York-Newark-Jersey City, N",40.756471,-74.161708,Restaurants,Subsidiary,,No,5812001,Restaurants,722511,Full-Service Restaurants,No,500 or more,Private,No,"50,000 or more",www.shoprite.com,No,,100,827610000,0,0,0,0,23,,,0,0,"$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more",
Big Dutchman Inc,Holland,MI,49424,7277,,,72,"1,665","$287,794,917 ",Ottawa,"25,000 to 49,999","Grand Rapids-Kentwood, MI",42.838494,-86.1015139,Pet Food & Supply Stores,Headquarters,,Yes,5999005,Pet Food & Supply Stores,453910,Pet and Pet Supplies Stores,No,500 or more,Private,No,"50,000 or more",www.bigdutchmanusa.com,No,2004,100,287794917,287794917,287794917,0,0,72,1665,1665,-95.68,-95.68,"$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more",
Publix Super Market,Deerfield Beach,FL,33442,3182,President,Male,"1,400","190,000","$280,609,560 ",Broward,"50,000 to 99,999",Miami-Fort Lauderdale-Pompano ,26.3078063,-80.122641,Grocery Stores,Branch,,No,5411001,Grocery Stores,445110,Supermarkets and Other Grocery (except Convenience) Stores,No,500 or more,Private,No,"50,000 or more",www.publix.com,No,,99,280609560,280609560,118561212,0,136.68,1400,1400,210,0,566.67,"$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more",Chain Location
Pet Supermarket Inc,Fort Lauderdale,FL,33323,2886,Chief Executive Officer,Male,8,"1,290","$251,793,036 ",Broward,"100,000 to 249,999",Miami-Fort Lauderdale-Pompano ,26.1347221,-80.3389296,Retail Stores,Headquarters,,No,5999001,Retail Stores,453998,All Other Miscellaneous Store Retailers (except Tobacco Stores),No,500 or more,Private,No,"50,000 or more",www.petsupermarket.com,No,1973,100,251793036,251793036,21275536,0,1083.49,8,1290,109,-99.38,-92.66,"$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more",
